date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance,m_prev,m_ret,s_prev,s_ret
2024-12-06,5355,0,0,0,0,0,0,0,,,,
2024-12-09,5355,0,0,0,0,0,0,0,,,,
2024-12-10,5355,0,0,0,0,0,0,0,,,,
2024-12-11,5355,0,0,0,0,0,0,0,,,,
2024-12-12,5355,0,0,0,0,0,0,0,,,,
2024-12-13,5355,0,0,0,0,0,0,0,,,,
2024-12-16,5355,0,0,0,0,0,0,0,,,,
2024-12-17,5355,0,0,0,0,0,0,0,,,,
2024-12-18,5355,0,0,0,0,0,0,0,,,,
2024-12-19,5355,0,0,0,0,0,0,0,,,,
2024-12-20,5355,0,0,0,0,0,0,0,,,,
2024-12-23,5355,0,0,0,0,0,0,0,,,,
2024-12-24,5355,0,0,0,0,0,0,0,,,,
2024-12-25,5355,0,0,0,0,0,0,0,,,,
2024-12-26,5355,0,0,0,0,0,0,0,,,,
2024-12-27,5355,0,0,0,0,0,0,0,,,,
2024-12-30,5355,0,0,0,0,0,0,0,,,,
2024-12-31,5355,0,0,0,0,0,0,0,,,,
2025-01-02,5355,0,0,0,0,0,0,0,,,,
2025-01-03,5355,0,0,0,0,0,0,0,,,,
2025-01-06,5355,0,0,0,0,0,0,0,,,,
2025-01-07,5355,0,0,0,0,0,0,0,,,,
2025-01-08,5355,0,0,0,0,0,0,0,,,,
2025-01-09,5355,0,0,0,0,0,0,0,,,,
2025-01-10,5355,0,0,0,0,0,0,0,,,,
2025-01-13,5355,0,0,0,0,0,0,0,,,,
2025-01-14,5355,0,0,0,0,0,0,0,,,,
2025-01-15,5355,0,0,0,0,0,0,0,,,,
2025-01-16,5355,0,0,0,0,0,0,0,,,,
2025-01-17,5355,0,0,0,0,0,0,0,,,,
2025-01-20,5355,0,0,0,0,0,0,0,,,,
2025-01-21,5355,0,0,0,0,0,0,0,,,,
2025-01-22,5355,0,0,0,0,0,0,0,,,,
2025-02-03,5355,0,0,0,0,0,0,0,,,,
2025-02-04,5355,0,0,0,0,0,0,0,,,,
2025-02-05,5355,0,0,0,0,0,0,0,,,,
2025-02-06,5355,0,0,0,0,0,0,0,,,,
2025-02-07,5355,0,0,0,0,0,0,0,,,,
2025-02-10,5355,0,0,0,0,0,0,0,,,,
2025-02-11,5355,0,0,0,0,0,0,0,,,,
2025-02-12,5355,0,0,0,0,0,0,0,,,,
2025-02-13,5355,0,0,0,0,0,0,0,,,,
2025-02-14,5355,0,0,0,0,0,0,0,,,,
2025-02-17,5355,0,0,0,0,0,0,0,,,,
2025-02-18,5355,0,0,0,0,0,0,0,,,,
2025-02-19,5355,0,0,0,0,0,0,0,,,,
2025-02-20,5355,0,0,0,0,0,0,0,,,,
2025-02-21,5355,0,0,0,0,0,0,0,,,,
2025-02-24,5355,0,0,0,0,0,0,0,,,,
2025-02-25,5355,0,0,0,0,0,0,0,,,,
2025-02-26,5355,0,0,0,0,0,0,0,,,,
2025-02-27,5355,0,0,0,0,0,0,0,,,,
2025-03-03,5355,0,0,0,0,0,0,0,,,,
2025-03-04,5355,0,0,0,0,0,0,0,,,,
2025-03-05,5355,0,0,0,0,0,0,0,,,,
2025-03-06,5355,0,0,0,0,0,0,0,,,,
2025-03-07,5355,0,0,0,0,0,0,0,,,,
2025-03-10,5355,0,0,0,0,0,0,0,,,,
2025-03-11,5355,0,0,0,0,0,0,0,,,,
2025-03-12,5355,0,0,0,0,0,0,0,,,,
2025-03-13,5355,0,0,0,0,0,0,0,,,,
2025-03-14,5355,0,0,0,0,0,0,0,,,,
2025-03-17,5355,0,0,0,0,0,0,0,,,,
2025-03-18,5355,0,0,0,0,0,0,0,,,,
2025-03-19,5355,0,0,0,0,0,0,0,,,,
2025-03-20,5355,0,0,0,0,0,0,0,,,,
2025-03-21,5355,0,0,0,0,0,0,0,,,,
2025-03-24,5355,0,0,0,0,0,0,0,,,,
2025-03-25,5355,0,0,0,0,0,0,0,,,,
2025-03-26,5355,0,0,0,0,0,0,0,,,,
2025-03-27,5355,0,0,0,0,0,0,0,,,,
2025-03-28,5355,0,0,0,0,0,0,0,,,,
2025-03-31,5355,0,0,0,0,0,0,0,,,,
2025-04-01,5355,0,0,0,0,0,0,0,,,,
2025-04-02,5355,0,0,0,0,0,0,0,,,,
2025-04-07,5355,0,0,0,0,0,0,0,,,,
2025-04-08,5355,0,0,0,0,0,0,0,,,,
2025-04-09,5355,0,0,0,0,0,0,0,,,,
2025-04-10,5355,0,0,0,0,0,0,0,,,,
2025-04-11,5355,0,0,0,0,0,0,0,,,,
2025-04-14,5355,0,0,0,0,0,0,0,,,,
2025-04-15,5355,0,0,0,0,0,0,0,,,,
2025-04-16,5355,0,0,0,0,0,0,0,,,,
2025-04-17,5355,0,0,0,0,0,0,0,,,,
2025-04-18,5355,0,0,0,0,0,0,0,,,,
2025-04-21,5355,0,0,0,0,0,0,0,,,,
2025-04-22,5355,0,0,0,0,0,0,0,,,,
2025-04-23,5355,0,0,0,0,0,0,0,,,,
2025-04-24,5355,0,0,0,0,0,0,0,,,,
2025-04-25,5355,0,0,0,0,0,0,0,,,,
2025-04-28,5355,0,0,0,0,0,0,0,,,,
2025-04-29,5355,0,0,0,0,0,0,0,,,,
2025-04-30,5355,0,0,0,0,0,0,0,,,,
2025-05-02,5355,0,0,0,0,0,0,0,,,,
2025-05-05,5355,0,0,0,0,0,0,0,,,,
2025-05-06,5355,0,0,0,0,0,0,0,,,,
2025-05-07,5355,0,0,0,0,0,0,0,,,,
2025-05-08,5355,0,0,0,0,0,0,0,,,,
2025-05-09,5355,0,0,0,0,0,0,0,,,,
2025-05-12,5355,0,0,0,0,0,0,0,,,,
2025-05-13,5355,0,0,0,0,0,0,0,,,,
2025-05-14,5355,0,0,0,0,0,0,0,,,,
2025-05-15,5355,0,0,0,0,0,0,0,,,,
2025-05-16,5355,0,0,0,0,0,0,0,,,,
2025-05-19,5355,0,0,0,0,0,0,0,,,,
2025-05-20,5355,0,0,0,0,0,0,0,,,,
2025-05-21,5355,0,0,0,0,0,0,0,,,,
2025-05-22,5355,0,0,0,0,0,0,0,,,,
2025-05-23,5355,0,0,0,0,0,0,0,,,,
2025-05-26,5355,0,0,0,0,0,0,0,,,,
2025-05-27,5355,0,0,0,0,0,0,0,,,,
2025-05-28,5355,0,0,0,0,0,0,0,,,,
2025-05-29,5355,0,0,0,0,0,0,0,,,,
2025-06-02,5355,0,0,0,0,0,0,0,,,,
2025-06-03,5355,0,0,0,0,0,0,0,,,,
2025-06-04,5355,0,0,0,0,0,0,0,,,,
2025-06-05,5355,0,0,0,0,0,0,0,,,,
2025-06-06,5355,0,0,0,0,0,0,0,,,,
2025-06-09,5355,0,0,0,0,0,0,0,,,,
2025-06-10,5355,0,0,0,0,0,0,0,,,,
2025-06-11,5355,0,0,0,0,0,0,0,,,,
2025-06-12,5355,0,0,0,0,0,0,0,,,,
2025-06-13,5355,0,0,0,0,0,0,0,,,,
2025-06-16,5355,0,0,0,0,0,0,0,,,,
2025-06-17,5355,0,0,0,0,0,0,0,,,,
2025-06-18,5355,0,0,0,0,0,0,0,,,,
2025-06-19,5355,0,0,0,0,0,0,0,,,,
2025-06-20,5355,0,0,0,0,0,0,0,,,,
2025-06-23,5355,0,0,0,0,0,0,0,,,,
2025-06-24,5355,0,0,0,0,0,0,0,,,,
2025-06-25,5355,0,0,0,0,0,0,0,,,,
2025-06-26,5355,0,0,0,0,0,0,0,,,,
2025-06-27,5355,0,0,0,0,0,0,0,,,,
2025-06-30,5355,0,0,0,0,0,0,0,,,,
2025-07-01,5355,0,0,0,0,0,0,0,,,,
2025-07-02,5355,0,0,0,0,0,0,0,,,,
2025-07-03,5355,0,0,0,0,0,0,0,,,,
2025-07-04,5355,0,0,0,0,0,0,0,,,,
2025-07-07,5355,0,0,0,0,0,0,0,,,,
2025-07-08,5355,0,0,0,0,0,0,0,,,,
2025-07-09,5355,0,0,0,0,0,0,0,,,,
2025-07-10,5355,0,0,0,0,0,0,0,,,,
2025-07-11,5355,0,0,0,0,0,0,0,,,,
2025-07-14,5355,0,0,0,0,0,0,0,,,,
2025-07-15,5355,0,0,0,0,0,0,0,,,,
2025-07-16,5355,0,0,0,0,0,0,0,,,,
2025-07-17,5355,0,0,0,0,0,0,0,,,,
2025-07-18,5355,0,0,0,0,0,0,0,,,,
2025-07-21,5355,0,0,0,0,0,0,0,,,,
2025-07-22,5355,0,0,0,0,0,0,0,,,,
2025-07-23,5355,0,0,0,0,0,0,0,,,,
2025-07-24,5355,0,0,0,0,0,0,0,,,,
2025-07-25,5355,0,0,0,0,0,0,0,,,,
2025-07-28,5355,0,0,0,0,0,0,0,,,,
2025-07-29,5355,0,0,0,0,0,0,0,,,,
2025-07-30,5355,0,0,0,0,0,0,0,,,,
2025-07-31,5355,0,0,0,0,0,0,0,,,,
2025-08-01,5355,0,0,0,0,0,0,0,,,,
2025-08-04,5355,0,0,0,0,0,0,0,,,,
2025-08-05,5355,0,0,0,0,0,0,0,,,,
2025-08-06,5355,0,0,0,0,0,0,0,,,,
2025-08-07,5355,0,0,0,0,0,0,0,,,,
2025-08-08,5355,0,0,0,0,0,0,0,,,,
2025-08-11,5355,0,0,0,0,0,0,0,,,,
2025-08-12,5355,0,0,0,0,0,0,0,,,,
2025-08-13,5355,0,0,0,0,0,0,0,,,,
2025-08-14,5355,0,0,0,0,0,0,0,,,,
2025-08-15,5355,0,0,0,0,0,0,0,,,,
2025-08-18,5355,0,0,0,0,0,0,0,,,,
2025-08-19,5355,0,0,0,0,0,0,0,,,,
2025-08-20,5355,0,0,0,0,0,0,0,,,,
2025-08-21,5355,0,0,0,0,0,0,0,,,,
2025-08-22,5355,0,0,0,0,0,0,0,,,,
2025-08-25,5355,0,0,0,0,0,0,0,,,,
2025-08-26,5355,0,0,0,0,0,0,0,,,,
2025-08-27,5355,0,0,0,0,0,0,0,,,,
2025-08-28,5355,0,0,0,0,0,0,0,,,,
2025-08-29,5355,0,0,0,0,0,0,0,,,,
2025-09-01,5355,0,0,0,0,0,0,0,,,,
2025-09-02,5355,0,0,0,0,0,0,0,,,,
2025-09-03,5355,0,0,0,0,0,0,0,,,,
2025-09-04,5355,0,0,0,0,0,0,0,,,,
2025-09-05,5355,0,0,0,0,0,0,0,,,,
2025-09-08,5355,0,0,0,0,0,0,0,,,,
2025-09-09,5355,0,0,0,0,0,0,0,,,,
2025-09-10,5355,0,0,0,0,0,0,0,,,,
2025-09-11,5355,0,0,0,0,0,0,0,,,,
2025-09-12,5355,0,0,0,0,0,0,0,,,,
2025-09-15,5355,0,0,0,0,0,0,0,,,,
2025-09-16,5355,0,0,0,0,0,0,0,,,,
2025-09-17,5355,0,0,0,0,0,0,0,,,,
2025-09-18,5355,0,0,0,0,0,0,0,,,,
2025-09-19,5355,0,0,0,0,0,0,0,,,,
2025-09-22,5355,0,0,0,0,0,0,0,,,,
2025-09-23,5355,0,0,0,0,0,0,0,,,,
2025-09-24,5355,0,0,0,0,0,0,0,,,,
2025-09-25,5355,0,0,0,0,0,0,0,,,,
2025-09-26,5355,0,0,0,0,0,0,0,,,,
2025-09-30,5355,0,0,0,0,0,0,0,,,,
2025-10-01,5355,0,0,0,0,0,0,0,,,,
2025-10-02,5355,0,0,0,0,0,0,0,,,,
2025-10-03,5355,0,0,0,0,0,0,0,,,,
2025-10-07,5355,0,0,0,0,0,0,0,,,,
2025-10-08,5355,0,0,0,0,0,0,0,,,,
2025-10-09,5355,0,0,0,0,0,0,0,,,,
2025-10-13,5355,0,0,0,0,0,0,0,,,,
2025-10-14,5355,0,0,0,0,0,0,0,,,,
2025-10-15,5355,0,0,0,0,0,0,0,,,,
2025-10-16,5355,0,0,0,0,0,0,0,,,,
2025-10-17,5355,0,0,0,0,0,0,0,,,,
2025-10-20,5355,0,0,0,0,0,0,0,,,,
2025-10-21,5355,0,0,0,0,0,0,0,,,,
2025-10-22,5355,0,0,0,0,0,0,0,,,,
2025-10-23,5355,0,0,0,0,0,0,0,,,,
2025-10-27,5355,0,0,0,0,0,0,0,,,,
2025-10-28,5355,0,0,0,0,0,0,0,,,,
2025-10-29,5355,0,0,0,0,0,0,0,,,,
2025-10-30,5355,0,0,0,0,0,0,0,,,,
2025-10-31,5355,0,0,0,0,0,0,0,,,,
2025-11-03,5355,0,0,0,0,0,0,0,,,,
2025-11-04,5355,0,0,0,0,0,0,0,,,,
2025-11-05,5355,0,0,0,0,0,0,0,,,,
2025-11-06,5355,0,0,0,0,0,0,0,,,,
2025-11-07,5355,0,0,0,0,0,0,0,,,,
2025-11-10,5355,0,0,0,0,0,0,0,,,,
2025-11-11,5355,0,0,0,0,0,0,0,,,,
2025-11-12,5355,0,0,0,0,0,0,0,,,,
2025-11-13,5355,0,0,0,0,0,0,0,,,,
2025-11-14,5355,0,0,0,0,0,0,0,,,,
2025-11-17,5355,0,0,0,0,0,0,0,,,,
2025-11-18,5355,0,0,0,0,0,0,0,,,,
2025-11-19,5355,0,0,0,0,0,0,0,,,,
2025-11-20,5355,0,0,0,0,0,0,0,,,,
2025-11-21,5355,0,0,0,0,0,0,0,,,,
2025-11-24,5355,0,0,0,0,0,0,0,,,,
2025-11-25,5355,0,0,0,0,0,0,0,,,,
2025-11-26,5355,0,0,0,0,0,0,0,,,,
2025-11-27,5355,0,0,0,0,0,0,0,,,,
2025-11-28,5355,0,0,0,0,0,0,0,,,,
2025-12-01,5355,0,0,0,0,0,0,0,,,,
2025-12-02,5355,0,0,0,0,0,0,0,,,,
2025-12-03,5355,0,0,0,0,0,0,0,,,,
2025-12-04,5355,0,0,0,0,0,0,0,,,,
2025-12-05,5355,0,0,0,0,0,0,0,,,,
2025-12-08,5355,0,0,0,0,0,0,0,,,,
2025-12-09,5355,0,0,0,0,0,0,0,,,,
2025-12-10,5355,0,0,0,0,0,0,0,,,,
2025-12-11,5355,0,0,0,0,0,0,0,,,,
2025-12-12,5355,0,0,0,0,0,0,0,,,,
2025-12-15,5355,0,0,0,0,0,0,0,,,,
2025-12-16,5355,0,0,0,0,0,0,0,,,,
2025-12-17,5355,0,0,0,0,0,0,0,,,,
2025-12-18,5355,0,0,0,0,0,0,0,,,,
2025-12-19,5355,0,0,0,0,0,0,0,,,,
2025-12-22,5355,0,0,0,0,0,0,0,,,,
2025-12-23,5355,0,0,0,0,0,0,0,,,,
2025-12-24,5355,0,0,0,0,0,0,0,,,,
2025-12-26,5355,0,0,0,0,0,0,0,,,,
2025-12-29,5355,0,0,0,0,0,0,0,,,,
2025-12-30,5355,0,0,0,0,0,0,0,,,,
2025-12-31,5355,0,0,0,0,0,0,0,,,,
2026-01-02,5355,0,0,0,0,0,0,0,,,,
2026-01-05,5355,0,0,0,0,0,0,0,,,,
2026-01-06,5355,0,0,0,0,0,0,0,,,,
2026-01-07,5355,0,0,0,0,0,0,0,,,,
2026-01-08,5355,0,0,0,0,0,0,0,,,,
2026-01-09,5355,0,0,0,0,0,0,0,,,,
2026-01-12,5355,0,0,0,0,0,0,0,,,,
2026-01-13,5355,0,0,0,0,0,0,0,,,,
2026-01-14,5355,0,0,0,0,0,0,0,,,,
2026-01-15,5355,0,0,0,0,0,0,0,,,,
2026-01-16,5355,0,0,0,0,0,0,0,,,,
2026-01-19,5355,0,0,0,0,0,0,0,,,,
2026-01-20,5355,0,0,0,0,0,0,0,,,,
2026-01-21,5355,0,0,0,0,0,0,0,,,,
2026-01-22,5355,0,0,0,0,0,0,0,,,,
2026-01-23,5355,0,0,0,0,0,0,0,,,,
2026-01-26,5355,0,0,0,0,0,0,0,,,,
2026-01-27,5355,0,0,0,0,0,0,0,,,,
2026-01-28,5355,0,0,0,0,0,0,0,,,,
2026-01-29,5355,0,0,0,0,0,0,0,,,,
2026-01-30,5355,0,0,0,0,0,0,0,,,,
2026-02-02,5355,0,0,0,0,0,0,0,,,,
2026-02-03,5355,0,0,0,0,0,0,0,,,,
2026-02-04,5355,0,0,0,0,0,0,0,,,,
2026-02-05,5355,0,0,0,0,0,0,0,,,,
2026-02-06,5355,0,0,0,0,0,0,0,,,,
2026-02-09,5355,0,0,0,0,0,0,0,,,,
2026-02-10,5355,0,0,0,0,0,0,0,,,,
2026-02-11,5355,0,0,0,0,0,0,0,,,,
2026-02-23,5355,0,0,0,0,0,0,0,,,,
2026-02-24,5355,0,0,0,0,0,0,0,,,,
2026-02-25,5355,0,0,0,0,0,0,0,,,,
2026-02-26,5355,0,0,0,0,0,0,0,,,,
2026-03-02,5355,0,0,0,0,0,0,0,,,,
2026-03-03,5355,0,0,0,0,0,0,0,,,,
2026-03-04,5355,0,0,0,0,0,0,0,,,,
2026-03-05,5355,0,0,0,0,0,0,0,,,,
2026-03-06,5355,0,0,0,0,0,0,0,,,,
2026-03-09,5355,0,0,0,0,0,0,0,,,,
2026-03-10,5355,0,0,0,0,0,0,0,,,,
2026-03-11,5355,0,0,0,0,0,0,0,,,,
2026-03-12,5355,0,0,0,0,0,0,0,,,,
2026-03-13,5355,0,0,0,0,0,0,0,,,,
2026-03-16,5355,0,0,0,0,0,0,0,,,,
2026-03-17,5355,0,0,0,0,0,0,0,,,,
2026-03-18,5355,0,0,0,0,0,0,0,,,,
2026-03-19,5355,0,0,0,0,0,0,0,,,,
2026-03-20,5355,0,0,0,0,0,0,0,,,,
2026-03-23,5355,0,0,0,0,0,0,0,,,,
2026-03-24,5355,0,0,0,0,0,0,0,,,,
2026-03-25,5355,0,0,0,0,0,0,0,,,,
2026-03-26,5355,0,0,0,0,0,0,0,,,,
2026-03-27,5355,0,0,0,0,0,0,0,,,,
2026-03-30,5355,0,0,0,0,0,0,0,,,,
2026-03-31,5355,0,0,0,0,0,0,0,,,,
2026-04-01,5355,0,0,0,0,0,0,0,,,,
2026-04-02,5355,0,0,0,0,0,0,0,,,,
2026-04-07,5355,0,0,0,0,0,0,0,,,,
2026-04-08,5355,0,0,0,0,0,0,0,,,,
2026-04-09,5355,0,0,0,0,0,0,0,,,,
2026-04-10,5355,0,0,0,0,0,0,0,,,,
2026-04-13,5355,0,0,0,0,0,0,0,,,,
2026-04-14,5355,0,0,0,0,0,0,0,,,,
2026-04-15,5355,0,0,0,0,0,0,0,,,,
2026-04-16,5355,0,0,0,0,0,0,0,,,,
2026-04-17,5355,0,0,0,0,0,0,0,,,,
2026-04-20,5355,0,0,0,0,0,0,0,,,,
2026-04-21,5355,0,0,0,0,0,0,0,,,,
2026-04-22,5355,0,0,0,0,0,0,0,,,,
2026-04-23,5355,0,0,0,0,0,0,0,,,,
2026-04-24,5355,0,0,0,0,0,0,0,,,,
2026-04-27,5355,0,0,0,0,0,0,0,,,,
2026-04-28,5355,0,0,0,0,0,0,0,,,,
2026-04-29,5355,0,0,0,0,0,0,0,,,,
2026-04-30,5355,0,0,0,0,0,0,0,,,,
2026-05-04,5355,0,0,0,0,0,0,0,,,,
2026-05-05,5355,0,0,0,0,0,0,0,,,,
2026-05-06,5355,0,0,0,0,0,0,0,,,,
2026-05-07,5355,0,0,0,0,0,0,0,,,,
2026-05-08,5355,0,0,0,0,0,0,0,,,,
2026-05-11,5355,0,0,0,0,0,0,0,,,,
2026-05-12,5355,0,0,0,0,0,0,0,,,,
2026-05-13,5355,0,0,0,0,0,0,0,,,,
2026-05-14,5355,0,0,0,0,0,0,0,,,,
2026-05-15,5355,0,0,0,0,0,0,0,,,,
2026-05-18,5355,0,0,0,0,0,0,0,,,,
2026-05-19,5355,0,0,0,0,0,0,0,,,,
2026-05-20,5355,0,0,0,0,0,0,0,,,,
2026-05-21,5355,0,0,0,0,0,0,0,,,,
2026-05-22,5355,0,0,0,0,0,0,0,,,,
2026-05-25,5355,0,0,0,0,0,0,0,,,,
2026-05-26,5355,0,0,0,0,0,0,0,,,,
2026-05-27,5355,0,0,0,0,0,0,0,,,,
2026-05-28,5355,0,0,0,0,0,0,0,,,,
2026-05-29,5355,0,0,0,0,0,0,0,,,,
2026-06-01,5355,0,0,0,0,0,0,0,,,,
2026-06-02,5355,0,0,0,0,0,0,0,,,,
2026-06-03,5355,0,0,0,0,0,0,0,,,,
2026-06-04,5355,0,0,0,0,0,0,0,,,,
2026-06-05,5355,0,0,0,0,0,0,0,,,,
2026-06-08,5355,0,0,0,0,0,0,0,,,,
2026-06-09,5355,0,0,0,0,0,0,0,,,,
2026-06-10,5355,0,0,0,0,0,0,0,,,,
2026-06-11,5355,0,0,0,0,0,0,0,,,,
2026-06-12,5355,0,0,0,0,0,0,0,,,,
2026-06-15,5355,0,0,0,0,0,0,0,,,,
2026-06-16,5355,0,0,0,0,0,0,0,,,,
2026-06-17,5355,0,0,0,0,0,0,0,,,,
2026-06-18,5355,0,0,0,0,0,0,0,,,,
2026-06-22,5355,0,0,0,0,0,0,0,,,,
2026-06-23,5355,0,0,0,0,0,0,0,,,,
2026-06-24,5355,0,0,0,0,0,0,0,,,,
2026-06-25,5355,0,0,0,0,0,0,0,,,,
2026-06-26,5355,0,0,0,0,0,0,0,,,,
2026-06-29,5355,0,0,0,0,0,0,0,,,,
2026-06-30,5355,0,0,0,0,0,0,0,,,,
2026-07-01,5355,0,0,0,0,0,0,0,,,,
2026-07-02,5355,0,0,0,0,0,0,0,,,,
2026-07-03,5355,0,0,0,0,0,0,0,,,,
2026-07-06,5355,0,0,0,0,0,0,0,,,,
2026-07-07,5355,0,0,0,0,0,0,0,,,,
2026-07-08,5355,0,0,0,0,0,0,0,,,,
2026-07-09,5355,0,0,0,0,0,0,0,,,,
2026-07-13,5355,0,0,0,0,0,0,0,,,,
2026-07-14,5355,0,0,0,0,0,0,0,,,,
2026-07-15,5355,0,0,0,0,0,0,0,,,,
2026-07-16,5355,0,0,0,0,0,0,0,,,,
2026-07-17,5355,0,0,0,0,0,0,0,,,,
2026-07-20,5355,0,0,0,0,0,0,0,,,,
2026-07-21,5355,0,0,0,0,0,0,0,,,,
2026-07-22,5355,0,0,0,0,0,0,0,,,,
2026-07-23,5355,0,0,0,0,0,0,0,,,,
2026-07-24,5355,0,0,0,0,0,0,0,,,,
2026-07-27,5355,0,0,0,0,0,0,0,,,,
2026-07-28,5355,0,0,0,0,0,0,0,,,,
2026-07-29,5355,0,0,0,0,0,0,0,,,,
2026-07-30,5355,0,0,0,0,0,0,0,,,,
2026-07-31,5355,0,0,0,0,0,0,0,,,,
2026-08-03,5355,0,0,0,0,0,0,0,,,,
2026-08-04,5355,0,0,0,0,0,0,0,,,,
2026-08-05,5355,0,0,0,0,0,0,0,,,,
2026-08-06,5355,0,0,0,0,0,0,0,,,,
2026-08-07,5355,0,0,0,0,0,0,0,,,,
2026-08-10,5355,0,0,0,0,0,0,0,,,,
2026-08-11,5355,0,0,0,0,0,0,0,,,,
2026-08-12,5355,0,0,0,0,0,0,0,,,,
2026-08-13,5355,0,0,0,0,0,0,0,,,,
2026-08-14,5355,0,0,0,0,0,0,0,,,,
2026-08-17,5355,0,0,0,0,0,0,0,,,,
2026-08-18,5355,0,0,0,0,0,0,0,,,,
2026-08-19,5355,0,0,0,0,0,0,0,,,,
2026-08-20,5355,0,0,0,0,0,0,0,,,,
2026-08-21,5355,0,0,0,0,0,0,0,,,,
2026-08-24,5355,0,0,0,0,0,0,0,,,,
2026-08-25,5355,0,0,0,0,0,0,0,,,,
2026-08-26,5355,0,0,0,0,0,0,0,,,,
2026-08-27,5355,0,0,0,0,0,0,0,,,,
2026-08-28,5355,0,0,0,0,0,0,0,,,,
2026-08-31,5355,0,0,0,0,0,0,0,,,,
2026-09-01,5355,0,0,0,0,0,0,0,,,,
2026-09-02,5355,0,0,0,0,0,0,0,,,,
2026-09-03,5355,0,0,0,0,0,0,0,,,,
2026-09-04,5355,0,0,0,0,0,0,0,,,,
2026-09-07,5355,0,0,0,0,0,0,0,0,0,0,0
2026-09-08,5355,0,0,0,0,0,0,0,,,,
2026-09-09,5355,0,0,0,0,0,0,0,0,0,0,0
