date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance,m_prev,m_ret,s_prev,s_ret,note
2018-03-02,1471,0,0,16,0,0,0,0,16,0,0,0,OX
2018-03-05,1471,0,0,16,0,0,0,0,16,0,0,0,OX
2018-03-06,1471,0,0,16,0,0,0,0,16,0,0,0,OX
2018-03-07,1471,0,0,16,0,0,0,0,16,0,0,0,OX
2018-03-08,1471,0,0,16,0,0,0,0,16,0,0,0,OX
2018-03-09,1471,0,0,16,0,0,0,0,16,0,0,0,OX
2018-03-12,1471,0,0,16,0,0,0,0,16,0,0,0,OX
2018-03-13,1471,0,0,16,0,0,0,0,16,0,0,0,OX
2018-03-14,1471,0,0,16,0,0,0,0,16,0,0,0,OX
2018-03-15,1471,0,0,16,0,0,0,0,16,0,0,0,OX
2018-03-16,1471,0,0,16,0,0,0,0,16,0,0,0,OX
2018-03-19,1471,0,0,16,0,0,0,0,16,0,0,0,OX
2018-03-20,1471,0,0,16,0,0,0,0,16,0,0,0,OX
2018-03-21,1471,0,0,16,0,0,0,0,16,0,0,0,OX
2018-03-22,1471,0,0,16,0,0,0,0,16,0,0,0,OX
2018-03-23,1471,0,0,16,0,0,0,0,16,0,0,0,OX
2018-03-26,1471,0,0,16,0,0,0,0,16,0,0,0,OX
2018-03-27,1471,0,0,16,0,0,0,0,16,0,0,0,OX
2018-03-28,1471,0,0,16,0,0,0,0,16,0,0,0,OX
2018-03-29,1471,0,7,9,0,0,0,0,16,0,0,0,OX
2018-03-30,1471,0,0,9,0,0,0,0,9,0,0,0,OX
2018-03-31,1471,0,0,9,0,0,0,0,9,0,0,0,OX
2018-04-02,1471,0,2,7,0,0,0,0,9,0,0,0,OX
2018-04-03,1471,0,0,7,0,0,0,0,7,0,0,0,OX
2018-04-09,1471,0,0,7,0,0,0,0,7,0,0,0,OX
2018-04-10,1471,0,0,7,0,0,0,0,7,0,0,0,OX
2018-04-11,1471,0,0,7,0,0,0,0,7,0,0,0,OX
2018-04-12,1471,0,0,7,0,0,0,0,7,0,0,0,OX
2018-04-13,1471,0,0,7,0,0,0,0,7,0,0,0,OX
2018-04-16,1471,0,0,7,0,0,0,0,7,0,0,0,OX
2018-04-17,1471,0,0,7,0,0,0,0,7,0,0,0,OX
2018-04-18,1471,0,0,7,0,0,0,0,7,0,0,0,OX
2018-04-19,1471,0,0,7,0,0,0,0,7,0,0,0,OX
2018-04-20,1471,0,0,7,0,0,0,0,7,0,0,0,OX
2018-04-23,1471,0,0,7,0,0,0,0,7,0,0,0,OX
2018-04-24,1471,0,0,7,0,0,0,0,7,0,0,0,OX
2018-04-25,1471,0,0,7,0,0,0,0,7,0,0,0,OX
2018-04-26,1471,0,0,7,0,0,0,0,7,0,0,0,OX
2018-04-27,1471,0,0,7,0,0,0,0,7,0,0,0,OX
2018-04-30,1471,0,0,7,0,0,0,0,7,0,0,0,OX
2018-05-02,1471,0,0,7,0,0,0,0,7,0,0,0,OX
2018-05-03,1471,0,0,7,0,0,0,0,7,0,0,0,OX
2018-05-04,1471,0,0,7,0,0,0,0,7,0,0,0,OX
2018-05-07,1471,0,0,7,0,0,0,0,7,0,0,0,OX
2018-05-08,1471,0,0,7,0,0,0,0,7,0,0,0,OX
2018-05-09,1471,0,0,7,0,0,0,0,7,0,0,0,OX
2018-05-10,1471,0,7,0,0,0,0,0,7,0,0,0,OX
2018-05-11,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-05-14,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-05-15,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-05-16,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-05-17,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-05-18,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-05-21,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-05-22,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-05-23,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-05-24,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-05-25,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-05-28,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-05-29,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-05-30,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-05-31,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-06-01,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-06-04,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-06-05,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-06-06,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-06-07,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-06-08,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-06-11,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-06-12,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-06-13,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-06-14,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-06-15,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-06-19,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-06-20,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-06-21,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-06-22,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-06-25,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-06-26,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-06-27,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-06-28,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-06-29,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-07-02,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-07-03,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-07-04,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-07-05,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-07-06,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-07-09,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-07-10,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-07-11,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-07-12,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-07-13,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-07-16,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-07-17,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-07-18,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-07-19,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-07-20,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-07-23,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-07-24,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-07-25,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-07-26,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-07-27,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-07-30,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-07-31,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-08-01,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-08-02,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-08-03,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-08-06,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-08-07,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-08-08,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-08-09,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-08-10,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-08-13,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-08-14,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-08-15,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-08-16,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-08-17,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-08-20,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-08-21,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-08-22,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-08-23,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-08-24,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-08-27,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-08-28,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-08-29,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-08-30,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-08-31,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-09-03,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-09-04,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-09-05,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-09-06,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-09-07,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-09-10,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-09-11,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-09-12,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-09-13,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-09-14,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-09-17,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-09-18,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-09-19,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-09-20,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-09-21,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-09-25,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-09-26,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-09-27,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-09-28,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-10-01,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-10-02,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-10-03,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-10-04,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-10-05,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-10-08,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-10-09,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-10-11,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-10-12,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-10-15,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-10-16,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-10-17,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-10-18,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-10-19,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-10-22,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-10-23,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-10-24,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-10-25,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-10-26,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-10-29,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-10-30,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-10-31,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-11-01,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-11-02,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-11-05,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-11-06,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-11-07,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-11-08,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-11-09,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-11-12,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-11-13,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-11-14,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-11-15,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-11-16,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-11-19,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-11-20,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-11-21,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-11-22,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-11-23,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-11-26,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-11-27,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-11-28,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-11-29,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-11-30,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-12-03,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-12-04,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-12-05,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-12-06,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-12-07,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-12-10,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-12-11,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-12-12,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-12-13,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-12-14,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-12-17,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-12-18,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-12-19,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-12-20,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-12-21,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-12-22,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-12-24,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-12-25,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-12-26,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-12-27,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2018-12-28,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-01-02,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-01-03,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-01-04,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-01-07,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-01-08,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-01-09,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-01-10,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-01-11,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-01-14,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-01-15,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-01-16,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-01-17,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-01-18,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-01-21,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-01-22,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-01-23,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-01-24,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-01-25,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-01-28,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-01-29,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-01-30,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-02-11,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-02-12,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-02-13,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-02-14,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-02-15,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-02-18,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-02-19,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-02-20,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-02-21,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-02-22,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-02-25,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-02-26,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-02-27,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-03-04,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-03-05,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-03-06,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-03-07,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-03-08,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-03-11,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-03-12,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-03-13,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-03-14,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-03-15,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-03-18,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-03-19,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-03-20,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-03-21,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-03-22,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-03-25,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-03-26,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-03-27,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-03-28,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-03-29,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-04-01,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-04-02,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-04-03,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-04-08,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-04-09,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-04-10,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-04-11,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-04-12,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-04-15,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-04-16,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-04-17,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-04-18,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-04-19,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-04-22,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-04-23,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-04-24,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-04-25,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-04-26,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-04-29,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-04-30,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-05-02,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-05-03,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-05-06,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-05-07,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-05-08,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-05-09,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-05-10,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-05-13,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-05-14,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-05-15,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-05-16,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-05-17,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-05-20,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-05-21,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-05-22,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-05-23,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-05-24,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-05-27,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-05-28,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-05-29,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-05-30,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-05-31,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-06-03,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-06-04,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-06-05,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-06-06,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-06-10,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-06-11,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-06-12,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-06-13,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-06-14,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-06-17,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-06-18,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-06-19,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-06-20,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-06-21,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-06-24,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-06-25,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-06-26,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-06-27,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-06-28,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-07-01,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-07-02,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-07-03,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-07-04,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-07-05,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-07-08,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-07-09,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-07-10,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-07-11,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-07-12,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-07-15,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-07-16,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-07-17,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-07-18,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-07-19,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-07-22,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-07-23,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-07-24,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-07-25,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-07-26,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-07-29,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-07-30,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-07-31,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-08-01,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-08-02,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-08-05,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-08-06,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-08-07,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-08-08,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-08-12,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-08-13,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-08-14,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-08-15,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-08-16,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-08-19,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-08-20,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-08-21,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-08-22,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-08-23,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-08-26,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-08-27,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-08-28,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-08-29,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-08-30,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-09-02,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-09-03,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-09-04,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-09-05,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-09-06,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-09-09,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-09-10,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-09-11,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-09-12,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-09-16,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-09-17,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-09-18,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-09-19,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-09-20,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-09-23,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-09-24,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-09-25,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-09-26,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-09-27,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-10-01,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-10-02,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-10-03,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-10-04,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-10-07,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-10-08,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-10-09,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-10-14,1471,0,0,0,0,0,0,0,0,0,0,0,OX
2019-10-15,1471,0,0,0,0,0,0,0,0,0,0,0,OX
